topicId,words..
1,musical theatre director london time producers
2,money work made media davis fox
3,world studio independent french directed lost
4,film director oscar actor aviator starring
5,music people black urban stone don
6,mr court found man ms police
7,star play hit stars long producer
8,years song british young children school
9,family career including died death action
10,band album number chart uk rock
11,big book favourite people added brother
12,film festival films michael held year
13,show tv bbc series radio shows
14,set fans group singer sale york
15,office box comedy week christmas movie
16,years told make ve man love
17,won award awards prize year named
18,singer year jackson back paul time
19,year sales sold million list include
20,actress british awards uk nominated supporting
