topicId,rank,docId,filename
1,1,174,/Users/akash/Downloads/Datasets/./bbc/politics/174.txt
1,2,47,/Users/akash/Downloads/Datasets/./bbc/politics/047.txt
1,3,20,/Users/akash/Downloads/Datasets/./bbc/politics/020.txt
1,4,244,/Users/akash/Downloads/Datasets/./bbc/politics/244.txt
1,5,203,/Users/akash/Downloads/Datasets/./bbc/politics/203.txt
1,6,246,/Users/akash/Downloads/Datasets/./bbc/politics/246.txt
1,7,302,/Users/akash/Downloads/Datasets/./bbc/politics/302.txt
1,8,50,/Users/akash/Downloads/Datasets/./bbc/politics/050.txt
1,9,303,/Users/akash/Downloads/Datasets/./bbc/politics/303.txt
1,10,213,/Users/akash/Downloads/Datasets/./bbc/politics/213.txt
1,11,80,/Users/akash/Downloads/Datasets/./bbc/politics/080.txt
1,12,90,/Users/akash/Downloads/Datasets/./bbc/politics/090.txt
1,13,55,/Users/akash/Downloads/Datasets/./bbc/politics/055.txt
1,14,76,/Users/akash/Downloads/Datasets/./bbc/politics/076.txt
1,15,89,/Users/akash/Downloads/Datasets/./bbc/politics/089.txt
1,16,105,/Users/akash/Downloads/Datasets/./bbc/politics/105.txt
1,17,124,/Users/akash/Downloads/Datasets/./bbc/politics/124.txt
1,18,219,/Users/akash/Downloads/Datasets/./bbc/politics/219.txt
1,19,23,/Users/akash/Downloads/Datasets/./bbc/politics/023.txt
1,20,6,/Users/akash/Downloads/Datasets/./bbc/politics/006.txt
1,21,238,/Users/akash/Downloads/Datasets/./bbc/politics/238.txt
1,22,183,/Users/akash/Downloads/Datasets/./bbc/politics/183.txt
1,23,156,/Users/akash/Downloads/Datasets/./bbc/politics/156.txt
1,24,19,/Users/akash/Downloads/Datasets/./bbc/politics/019.txt
1,25,197,/Users/akash/Downloads/Datasets/./bbc/politics/197.txt
1,26,176,/Users/akash/Downloads/Datasets/./bbc/politics/176.txt
1,27,189,/Users/akash/Downloads/Datasets/./bbc/politics/189.txt
1,28,164,/Users/akash/Downloads/Datasets/./bbc/politics/164.txt
1,29,98,/Users/akash/Downloads/Datasets/./bbc/politics/098.txt
1,30,173,/Users/akash/Downloads/Datasets/./bbc/politics/173.txt
1,31,157,/Users/akash/Downloads/Datasets/./bbc/politics/157.txt
1,32,315,/Users/akash/Downloads/Datasets/./bbc/politics/315.txt
1,33,94,/Users/akash/Downloads/Datasets/./bbc/politics/094.txt
1,34,245,/Users/akash/Downloads/Datasets/./bbc/politics/245.txt
1,35,38,/Users/akash/Downloads/Datasets/./bbc/politics/038.txt
1,36,178,/Users/akash/Downloads/Datasets/./bbc/politics/178.txt
1,37,121,/Users/akash/Downloads/Datasets/./bbc/politics/121.txt
1,38,405,/Users/akash/Downloads/Datasets/./bbc/politics/405.txt
1,39,241,/Users/akash/Downloads/Datasets/./bbc/politics/241.txt
1,40,62,/Users/akash/Downloads/Datasets/./bbc/politics/062.txt
1,41,242,/Users/akash/Downloads/Datasets/./bbc/politics/242.txt
1,42,41,/Users/akash/Downloads/Datasets/./bbc/politics/041.txt
1,43,352,/Users/akash/Downloads/Datasets/./bbc/politics/352.txt
1,44,155,/Users/akash/Downloads/Datasets/./bbc/politics/155.txt
1,45,143,/Users/akash/Downloads/Datasets/./bbc/politics/143.txt
1,46,3,/Users/akash/Downloads/Datasets/./bbc/politics/003.txt
1,47,290,/Users/akash/Downloads/Datasets/./bbc/politics/290.txt
1,48,204,/Users/akash/Downloads/Datasets/./bbc/politics/204.txt
1,49,127,/Users/akash/Downloads/Datasets/./bbc/politics/127.txt
1,50,365,/Users/akash/Downloads/Datasets/./bbc/politics/365.txt
1,51,293,/Users/akash/Downloads/Datasets/./bbc/politics/293.txt
1,52,279,/Users/akash/Downloads/Datasets/./bbc/politics/279.txt
1,53,251,/Users/akash/Downloads/Datasets/./bbc/politics/251.txt
1,54,233,/Users/akash/Downloads/Datasets/./bbc/politics/233.txt
1,55,150,/Users/akash/Downloads/Datasets/./bbc/politics/150.txt
1,56,129,/Users/akash/Downloads/Datasets/./bbc/politics/129.txt
1,57,45,/Users/akash/Downloads/Datasets/./bbc/politics/045.txt
1,58,292,/Users/akash/Downloads/Datasets/./bbc/politics/292.txt
1,59,211,/Users/akash/Downloads/Datasets/./bbc/politics/211.txt
1,60,370,/Users/akash/Downloads/Datasets/./bbc/politics/370.txt
1,61,167,/Users/akash/Downloads/Datasets/./bbc/politics/167.txt
1,62,130,/Users/akash/Downloads/Datasets/./bbc/politics/130.txt
1,63,250,/Users/akash/Downloads/Datasets/./bbc/politics/250.txt
1,64,230,/Users/akash/Downloads/Datasets/./bbc/politics/230.txt
1,65,149,/Users/akash/Downloads/Datasets/./bbc/politics/149.txt
1,66,68,/Users/akash/Downloads/Datasets/./bbc/politics/068.txt
1,67,39,/Users/akash/Downloads/Datasets/./bbc/politics/039.txt
1,68,30,/Users/akash/Downloads/Datasets/./bbc/politics/030.txt
1,69,406,/Users/akash/Downloads/Datasets/./bbc/politics/406.txt
1,70,362,/Users/akash/Downloads/Datasets/./bbc/politics/362.txt
1,71,353,/Users/akash/Downloads/Datasets/./bbc/politics/353.txt
1,72,289,/Users/akash/Downloads/Datasets/./bbc/politics/289.txt
1,73,243,/Users/akash/Downloads/Datasets/./bbc/politics/243.txt
1,74,195,/Users/akash/Downloads/Datasets/./bbc/politics/195.txt
1,75,170,/Users/akash/Downloads/Datasets/./bbc/politics/170.txt
1,76,116,/Users/akash/Downloads/Datasets/./bbc/politics/116.txt
1,77,73,/Users/akash/Downloads/Datasets/./bbc/politics/073.txt
1,78,57,/Users/akash/Downloads/Datasets/./bbc/politics/057.txt
1,79,56,/Users/akash/Downloads/Datasets/./bbc/politics/056.txt
1,80,48,/Users/akash/Downloads/Datasets/./bbc/politics/048.txt
1,81,10,/Users/akash/Downloads/Datasets/./bbc/politics/010.txt
1,82,411,/Users/akash/Downloads/Datasets/./bbc/politics/411.txt
1,83,336,/Users/akash/Downloads/Datasets/./bbc/politics/336.txt
1,84,308,/Users/akash/Downloads/Datasets/./bbc/politics/308.txt
1,85,60,/Users/akash/Downloads/Datasets/./bbc/politics/060.txt
1,86,393,/Users/akash/Downloads/Datasets/./bbc/politics/393.txt
1,87,296,/Users/akash/Downloads/Datasets/./bbc/politics/296.txt
1,88,215,/Users/akash/Downloads/Datasets/./bbc/politics/215.txt
1,89,202,/Users/akash/Downloads/Datasets/./bbc/politics/202.txt
1,90,180,/Users/akash/Downloads/Datasets/./bbc/politics/180.txt
1,91,137,/Users/akash/Downloads/Datasets/./bbc/politics/137.txt
1,92,92,/Users/akash/Downloads/Datasets/./bbc/politics/092.txt
1,93,372,/Users/akash/Downloads/Datasets/./bbc/politics/372.txt
1,94,322,/Users/akash/Downloads/Datasets/./bbc/politics/322.txt
1,95,160,/Users/akash/Downloads/Datasets/./bbc/politics/160.txt
1,96,138,/Users/akash/Downloads/Datasets/./bbc/politics/138.txt
1,97,114,/Users/akash/Downloads/Datasets/./bbc/politics/114.txt
1,98,71,/Users/akash/Downloads/Datasets/./bbc/politics/071.txt
1,99,412,/Users/akash/Downloads/Datasets/./bbc/politics/412.txt
1,100,404,/Users/akash/Downloads/Datasets/./bbc/politics/404.txt
1,101,399,/Users/akash/Downloads/Datasets/./bbc/politics/399.txt
1,102,375,/Users/akash/Downloads/Datasets/./bbc/politics/375.txt
1,103,267,/Users/akash/Downloads/Datasets/./bbc/politics/267.txt
1,104,263,/Users/akash/Downloads/Datasets/./bbc/politics/263.txt
1,105,198,/Users/akash/Downloads/Datasets/./bbc/politics/198.txt
1,106,190,/Users/akash/Downloads/Datasets/./bbc/politics/190.txt
1,107,115,/Users/akash/Downloads/Datasets/./bbc/politics/115.txt
1,108,113,/Users/akash/Downloads/Datasets/./bbc/politics/113.txt
1,109,103,/Users/akash/Downloads/Datasets/./bbc/politics/103.txt
1,110,93,/Users/akash/Downloads/Datasets/./bbc/politics/093.txt
1,111,63,/Users/akash/Downloads/Datasets/./bbc/politics/063.txt
1,112,29,/Users/akash/Downloads/Datasets/./bbc/politics/029.txt
1,113,25,/Users/akash/Downloads/Datasets/./bbc/politics/025.txt
1,114,410,/Users/akash/Downloads/Datasets/./bbc/politics/410.txt
1,115,400,/Users/akash/Downloads/Datasets/./bbc/politics/400.txt
1,116,380,/Users/akash/Downloads/Datasets/./bbc/politics/380.txt
1,117,271,/Users/akash/Downloads/Datasets/./bbc/politics/271.txt
1,118,269,/Users/akash/Downloads/Datasets/./bbc/politics/269.txt
1,119,187,/Users/akash/Downloads/Datasets/./bbc/politics/187.txt
1,120,146,/Users/akash/Downloads/Datasets/./bbc/politics/146.txt
1,121,95,/Users/akash/Downloads/Datasets/./bbc/politics/095.txt
1,122,51,/Users/akash/Downloads/Datasets/./bbc/politics/051.txt
