topicId,words..
1,minister ms added scotland scottish executive
2,election labour howard party tory tories
3,lord bill mps law parliament hunting
4,police men plans monday bbc london
5,children made women general statement told
6,government rights human clarke terror law
7,people time politics british policy part
8,report parties future rules make public
9,mr labour asked information party campbell
10,work year day conference war time
11,people system vote high problem commission
12,government local council year increase people
13,home secretary mr house office told
14,justice plan days london point muslim
15,mr blair minister prime labour election
16,government public services plans money service
17,brown mr chancellor budget gordon economy
18,uk eu government countries straw union
19,party mr ukip kilroy immigration silk
20,britain country issue expected make schools
