topicId,words..
1,back injury week start grand playing
2,set match roddick game point break
3,told made coach top weeks big
4,boss cup city newcastle home united
5,england rugby france nations robinson half
6,season final european form time mark
7,world race olympic champion year britain
8,win game good great games team
9,play league champions club manager added
10,half minutes ball goal lead back
11,liverpool club real summer gerrard deal
12,ireland scotland italy williams irish side
13,drugs kenteris iaaf doping test greek
14,players player ve don didn time
15,record won year indoor men women
16,wales zealand jones players tour squad
17,united game referee ferguson chance manchester
18,chelsea arsenal mourinho henry wenger jose
19,open australian seed round number year
20,year cup world years won time
