topicId,words..
1,make technology power working dr chip
2,million uk year people online firm
3,security software mail virus users microsoft
4,broadband net people access uk bt
5,games game gaming play nintendo gamers
6,company told companies public bbc news
7,mr people time work real life
8,software open internet law european computer
9,top back gadgets gadget list number
10,technology networks industry companies firms network
11,year microsoft released sony expected sales
12,online world create radio cards language
13,tv video service set content media
14,net site spam sites attacks data
15,digital music players show devices technology
16,search people information web google users
17,computer world research developed project make
18,file files music peer system apple
19,high dvd definition mac home mini
20,mobile phone phones people mobiles services
