topicId,words..
1,yukos russian court oil russia bn
2,companies business president government public investment
3,euros costs airline fuel airlines air
4,state money added cuts make pay
5,bn shares deal offer bid firm
6,mr company firm fraud chief financial
7,sales company chief executive deutsche group
8,firms commission statement decision sec rules
9,world countries trade meeting bush future
10,year jobs made high major years
11,economic economy government bn budget report
12,prices oil gm cut fiat higher
13,people customers american making uk director
14,china bank market stock investors years
15,year bn profits quarter expected profit
16,india oil production energy indian deal
17,economy rate rise figures rates year
18,south people credit impact hit insurance
19,growth dollar analysts fall japan demand
20,mr united club investment glazer financial
